model,mode,selection_metric,sample_index,psnr,ssim,lpips,pce,input_1_path,gt_path,input_2_path,prediction_path
complex_full,hard,psnr,139,46.52603378179873,0.9947046637535095,0.00724058598279953,0.18343040060484997,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/139/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/139/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/139/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/139/prediction.png
complex_full,hard,ssim,36,40.477520620588116,0.9951364398002625,0.004585724789649248,0.1552973570892421,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/36/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/36/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/36/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/36/prediction.png
complex_full,hard,ssim,38,36.803624587627475,0.9906715154647827,0.004226549994200468,0.17743476376285694,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/38/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/38/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/38/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/38/prediction.png
complex_full,hard,ssim,39,40.19468204945775,0.9950582385063171,0.005567548330873251,0.14074731467339555,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/39/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/39/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/39/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/39/prediction.png
complex_full,hard,ssim,139,46.52603378179873,0.9947046637535095,0.00724058598279953,0.18343040060484997,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/139/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/139/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/139/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_full/hard/samples/139/prediction.png
complex_loss_matched,hard,lpips,36,40.56337124387787,0.9952049255371094,0.004550555720925331,0.15503153292357444,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/36/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/36/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/36/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/36/prediction.png
complex_loss_matched,hard,lpips,38,36.99290042309058,0.9909965395927429,0.004086274188011885,0.17628746198325604,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/38/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/38/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/38/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/38/prediction.png
complex_loss_matched,hard,lpips,39,40.14264664084993,0.9950153231620789,0.00559154013171792,0.14144917500270437,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/39/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/39/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/39/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/39/prediction.png
complex_loss_matched,hard,lpips,139,46.48591288479271,0.994678258895874,0.007251289673149586,0.1837535309367976,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/139/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/139/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/139/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/139/prediction.png
complex_loss_matched,hard,pce,36,40.56337124387787,0.9952049255371094,0.004550555720925331,0.15503153292357444,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/36/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/36/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/36/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/36/prediction.png
